order_id,customer_id,order_number,order_date,total_amount,order_status,created_at,updated_at
24,107,ORD-000024,2024-08-23,1160.30,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
25,142,ORD-000025,2023-05-29,2337.29,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
26,9,ORD-000026,2023-06-28,1233.88,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
27,270,ORD-000027,2023-04-27,4244.85,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
28,485,ORD-000028,2024-09-21,4364.35,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
29,252,ORD-000029,2024-12-30,1460.49,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
30,312,ORD-000030,2023-06-01,4169.20,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
31,281,ORD-000031,2024-12-30,2966.90,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
32,407,ORD-000032,2024-12-19,5528.84,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
33,374,ORD-000033,2023-04-08,912.96,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
34,426,ORD-000034,2023-03-29,5941.01,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
35,169,ORD-000035,2024-11-17,2363.18,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
36,54,ORD-000036,2024-08-14,1416.39,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
37,180,ORD-000037,2024-07-23,264.03,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
38,294,ORD-000038,2023-08-20,5532.55,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
39,140,ORD-000039,2024-12-20,964.82,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
40,36,ORD-000040,2023-05-26,489.45,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
41,111,ORD-000041,2024-01-21,3209.64,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
42,306,ORD-000042,2023-03-28,1058.04,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
43,140,ORD-000043,2024-03-29,1455.27,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
44,221,ORD-000044,2023-04-24,3412.27,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
45,105,ORD-000045,2023-11-05,379.17,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
46,62,ORD-000046,2023-01-08,2631.47,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
47,427,ORD-000047,2024-11-15,56.22,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
48,224,ORD-000048,2023-01-20,454.55,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
49,220,ORD-000049,2024-08-10,1270.22,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
50,426,ORD-000050,2024-12-07,405.93,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
51,125,ORD-000051,2024-03-22,5849.20,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
52,325,ORD-000052,2023-04-27,657.69,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
53,102,ORD-000053,2023-06-27,320.04,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
54,238,ORD-000054,2024-07-31,3720.80,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
55,408,ORD-000055,2023-10-09,2044.83,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
56,30,ORD-000056,2024-01-13,113.21,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
57,315,ORD-000057,2024-08-31,4895.09,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
58,165,ORD-000058,2024-09-11,1350.78,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
59,363,ORD-000059,2024-03-24,2843.80,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
60,348,ORD-000060,2024-09-04,2186.07,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
61,146,ORD-000061,2023-09-16,3436.05,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
62,496,ORD-000062,2024-11-02,2367.92,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
63,193,ORD-000063,2024-10-20,2532.84,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
64,261,ORD-000064,2024-01-06,2616.75,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
65,99,ORD-000065,2023-08-20,1737.57,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
66,395,ORD-000066,2024-07-06,4244.34,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
67,84,ORD-000067,2023-07-05,3071.83,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
68,120,ORD-000068,2024-06-30,3555.88,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
69,394,ORD-000069,2023-10-16,2499.46,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
70,448,ORD-000070,2024-01-16,3213.90,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
71,485,ORD-000071,2023-08-16,2023.97,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
72,121,ORD-000072,2024-01-31,562.92,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
73,406,ORD-000073,2023-05-30,259.28,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
74,357,ORD-000074,2023-05-23,2174.42,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
75,482,ORD-000075,2024-09-15,478.62,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
76,122,ORD-000076,2023-11-05,258.64,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
77,328,ORD-000077,2024-09-29,785.04,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
78,306,ORD-000078,2024-07-02,1666.66,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
79,293,ORD-000079,2024-03-02,904.71,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
80,35,ORD-000080,2024-06-22,2842.82,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
81,183,ORD-000081,2023-03-11,2530.79,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
82,377,ORD-000082,2023-12-07,613.80,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
83,174,ORD-000083,2024-10-20,1812.27,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
84,19,ORD-000084,2023-10-28,251.82,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
85,162,ORD-000085,2023-11-14,3240.62,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
86,140,ORD-000086,2023-05-08,3776.35,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
87,189,ORD-000087,2024-06-15,1508.96,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
88,41,ORD-000088,2024-03-16,3841.80,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
89,86,ORD-000089,2024-12-07,2834.52,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
90,141,ORD-000090,2024-10-16,693.76,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
91,187,ORD-000091,2024-06-09,588.05,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
92,348,ORD-000092,2024-03-24,593.40,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
93,186,ORD-000093,2024-01-28,3439.44,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
94,204,ORD-000094,2023-11-18,1172.94,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
95,256,ORD-000095,2024-06-14,3319.72,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
96,103,ORD-000096,2023-05-06,927.84,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
97,461,ORD-000097,2024-12-31,44.22,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
98,342,ORD-000098,2023-12-22,2611.16,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
99,103,ORD-000099,2023-05-23,3428.48,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
100,314,ORD-000100,2023-03-30,3154.00,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
101,422,ORD-000101,2024-08-11,1946.59,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
102,349,ORD-000102,2024-06-13,2666.60,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
103,94,ORD-000103,2023-05-13,2616.60,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
104,178,ORD-000104,2024-06-15,766.72,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
105,326,ORD-000105,2024-07-18,2958.84,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
106,48,ORD-000106,2024-05-29,4514.45,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
107,42,ORD-000107,2023-02-16,2672.95,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
108,328,ORD-000108,2023-02-01,2756.77,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
109,81,ORD-000109,2024-03-26,1996.34,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
110,376,ORD-000110,2023-12-20,1482.18,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
111,55,ORD-000111,2023-11-23,2675.89,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
112,485,ORD-000112,2024-01-29,1819.23,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
113,98,ORD-000113,2023-06-13,2980.08,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
114,111,ORD-000114,2024-08-20,1056.27,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
115,254,ORD-000115,2024-09-03,1894.15,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
116,373,ORD-000116,2024-01-10,3357.23,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
117,186,ORD-000117,2024-07-20,1208.05,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
118,231,ORD-000118,2024-07-17,2673.69,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
119,387,ORD-000119,2023-05-28,3834.66,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
120,234,ORD-000120,2023-06-02,2423.08,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
121,304,ORD-000121,2023-12-11,3636.54,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
122,306,ORD-000122,2024-04-30,5501.53,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
123,397,ORD-000123,2024-01-25,1886.82,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
124,98,ORD-000124,2023-01-20,485.66,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
125,397,ORD-000125,2024-09-18,901.00,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
126,266,ORD-000126,2023-08-01,3751.25,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
127,182,ORD-000127,2024-11-23,4840.98,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
128,361,ORD-000128,2023-08-01,2133.32,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
129,294,ORD-000129,2024-11-23,823.80,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
130,336,ORD-000130,2023-09-20,2225.20,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
131,357,ORD-000131,2023-10-06,1548.60,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
132,123,ORD-000132,2023-09-06,1397.77,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
133,3,ORD-000133,2024-07-17,4390.18,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
134,331,ORD-000134,2023-03-02,2833.47,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
135,96,ORD-000135,2023-10-24,1843.15,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
136,309,ORD-000136,2023-04-20,2896.43,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
137,240,ORD-000137,2023-10-07,718.68,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
138,375,ORD-000138,2024-04-14,1304.51,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
139,346,ORD-000139,2023-07-17,3236.85,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
140,245,ORD-000140,2023-11-28,1689.68,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
141,121,ORD-000141,2024-04-02,4917.06,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
142,335,ORD-000142,2024-01-04,173.44,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
143,239,ORD-000143,2023-11-11,2823.88,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
144,189,ORD-000144,2024-09-21,849.20,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
145,383,ORD-000145,2024-09-12,3255.70,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
146,349,ORD-000146,2024-09-02,7329.61,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
147,104,ORD-000147,2024-08-09,2742.25,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
148,349,ORD-000148,2023-07-30,974.52,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
149,415,ORD-000149,2023-02-26,2214.32,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
150,30,ORD-000150,2024-07-26,605.44,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
151,297,ORD-000151,2023-03-16,1733.52,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
152,210,ORD-000152,2023-07-04,3251.36,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
153,69,ORD-000153,2024-10-31,400.05,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
154,202,ORD-000154,2024-06-25,1496.78,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
155,345,ORD-000155,2024-07-11,4010.50,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
156,17,ORD-000156,2024-11-07,3378.64,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
157,345,ORD-000157,2024-12-21,1334.10,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
158,120,ORD-000158,2024-07-06,450.35,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
159,149,ORD-000159,2023-08-28,3745.54,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
160,32,ORD-000160,2024-07-24,3766.50,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
161,357,ORD-000161,2024-03-02,2845.02,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
162,243,ORD-000162,2023-09-04,2344.35,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
163,496,ORD-000163,2024-03-02,3889.43,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
164,48,ORD-000164,2024-07-02,772.88,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
165,345,ORD-000165,2024-09-11,1028.55,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
166,371,ORD-000166,2024-11-18,1891.58,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
167,383,ORD-000167,2024-05-05,3449.82,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
168,274,ORD-000168,2024-10-26,2332.45,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
169,412,ORD-000169,2024-04-25,825.52,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
170,289,ORD-000170,2023-08-15,2112.10,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
171,479,ORD-000171,2024-08-21,2334.24,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
172,427,ORD-000172,2023-09-09,5503.07,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
173,87,ORD-000173,2023-05-24,602.88,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
174,430,ORD-000174,2023-03-18,79.40,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
175,432,ORD-000175,2024-10-07,901.00,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
176,5,ORD-000176,2023-08-12,5669.37,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
177,9,ORD-000177,2023-01-07,1496.70,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
178,370,ORD-000178,2023-10-09,159.48,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
179,413,ORD-000179,2023-07-03,603.14,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
180,124,ORD-000180,2023-07-16,3079.13,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
181,290,ORD-000181,2023-09-07,1938.03,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
182,195,ORD-000182,2024-01-22,373.78,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
183,360,ORD-000183,2023-06-25,2281.57,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
184,462,ORD-000184,2024-12-09,1780.88,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
185,337,ORD-000185,2023-02-03,2757.96,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
186,476,ORD-000186,2023-03-20,444.78,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
187,347,ORD-000187,2024-07-07,1555.24,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
188,224,ORD-000188,2023-08-26,2681.60,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
189,16,ORD-000189,2024-10-11,3749.82,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
190,339,ORD-000190,2024-01-25,2364.99,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
191,379,ORD-000191,2024-02-03,1444.23,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
192,390,ORD-000192,2023-10-04,2456.54,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
193,286,ORD-000193,2024-07-22,124.00,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
194,182,ORD-000194,2024-07-21,3922.90,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
195,464,ORD-000195,2023-09-06,1698.53,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
196,86,ORD-000196,2024-03-21,5026.75,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
197,305,ORD-000197,2024-09-23,1370.21,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
198,412,ORD-000198,2023-12-04,4712.56,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
199,486,ORD-000199,2024-12-12,1434.44,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
200,167,ORD-000200,2024-01-21,3008.14,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
201,14,ORD-000201,2024-04-17,661.37,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
202,338,ORD-000202,2023-06-07,4989.62,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
203,473,ORD-000203,2024-12-09,3677.02,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
204,86,ORD-000204,2024-10-24,3283.78,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
205,262,ORD-000205,2024-06-15,3254.50,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
206,13,ORD-000206,2024-05-09,856.70,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
207,176,ORD-000207,2024-04-11,3295.72,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
208,415,ORD-000208,2024-12-28,224.67,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
209,347,ORD-000209,2023-06-18,2780.52,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
210,96,ORD-000210,2024-10-17,2962.65,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
211,361,ORD-000211,2023-08-08,1005.80,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
212,188,ORD-000212,2023-11-30,3953.73,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
213,313,ORD-000213,2024-02-06,1638.30,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
214,471,ORD-000214,2024-09-21,284.89,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
215,60,ORD-000215,2023-07-07,1493.92,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
216,71,ORD-000216,2024-08-11,4196.32,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
217,251,ORD-000217,2023-10-23,377.47,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
218,444,ORD-000218,2024-01-03,1706.47,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
219,213,ORD-000219,2024-12-28,402.72,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
220,141,ORD-000220,2023-08-19,934.68,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
221,282,ORD-000221,2024-06-07,2752.52,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
222,280,ORD-000222,2023-08-12,976.68,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
223,153,ORD-000223,2023-02-03,768.73,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
224,108,ORD-000224,2024-08-25,3171.25,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
225,273,ORD-000225,2023-10-15,2509.50,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
226,461,ORD-000226,2024-11-26,3049.49,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
227,444,ORD-000227,2024-11-02,1293.56,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
228,425,ORD-000228,2023-09-11,4975.49,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
229,39,ORD-000229,2024-10-10,4967.45,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
230,2,ORD-000230,2023-04-06,599.21,delivered,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
231,254,ORD-000231,2023-10-02,2350.31,shipped,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
232,404,ORD-000232,2023-12-18,416.88,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
233,9,ORD-000233,2023-05-08,1775.41,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
234,82,ORD-000234,2023-10-08,2315.60,pending,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
235,321,ORD-000235,2023-11-09,1104.00,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
236,68,ORD-000236,2024-08-30,1997.78,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
237,245,ORD-000237,2023-03-14,2728.91,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
238,397,ORD-000238,2023-05-17,1507.85,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
239,5,ORD-000239,2024-09-16,1437.82,processing,2025-10-17 14:31:48.089726,2025-10-17 14:31:48.089726
